,visitorid,itemid,event,timestamp
107,227,308,view,1433224370656
108,250,202,view,1433221776140
109,174,456,view,1433221974779
110,142,346,view,1433221740333
111,102,227,view,1433224464446
112,119,356,addtocart,1433221941632
113,268,77,view,1433222595153
114,98,279,view,1433222897013
115,164,25,view,1433220908194
116,49,347,view,1433222894011
117,252,46,view,1433223952336
118,47,42,view,1433224782317
119,101,131,view,1433222409338
120,86,221,view,1433222877292
121,1,459,view,1433222876482
122,67,141,view,1433223968687
123,79,21,view,1433222088855
124,125,316,view,1433224388360
125,85,190,view,1433222860128
126,182,28,view,1433221108142
127,65,455,view,1433222605362
128,71,13,view,1433221107378
129,107,267,view,1433224396283
130,119,356,transaction,1433222276276
131,224,213,view,1433221512084
132,280,20,view,1433221512427
133,186,160,view,1433222824444
134,260,341,view,1433222820149
135,85,7,view,1433222291999
136,91,398,view,1433221689977
137,223,350,view,1433221523348
138,78,432,view,1433220912321
139,200,432,view,1433221229122
140,152,432,view,1433222793547
141,190,466,view,1433221525635
142,169,423,view,1433221526354
143,15,283,view,1433222790079
144,205,438,view,1433224416053
145,15,146,view,1433223636836
146,89,322,view,1433221724640
147,147,98,view,1433220872479
148,60,288,view,1433222772343
149,263,303,view,1433221718235
150,69,37,view,1433221835749
151,80,46,view,1433222623158
152,189,310,view,1433224733131
153,34,213,view,1433224435371
154,249,422,view,1433221686200
155,53,10,view,1433221998234
156,84,397,view,1433220966569
157,245,389,view,1433222181172
158,248,298,view,1433223376533
159,26,386,view,1433220965740
160,276,134,view,1433222721345
161,35,244,view,1433223622608
162,221,444,view,1433222719578
163,99,367,view,1433222341342
164,105,161,view,1433222646781
165,277,261,view,1433221558611
166,25,413,view,1433221690620
167,25,25,view,1433222057888
168,230,388,view,1433221585010
169,24,256,view,1433222500605
170,46,324,view,1433222492114
171,174,234,view,1433221846073
172,53,190,view,1433222012357
173,41,268,view,1433222482735
174,117,110,view,1433221650063
175,160,394,view,1433223651491
176,220,40,view,1433221038433
177,15,38,view,1433223502068
178,208,272,view,1433224523363
179,21,312,addtocart,1433220880956
180,135,276,view,1433192344441
181,109,184,view,1433194613963
182,39,337,view,1433193581950
183,197,429,view,1433193799250
184,208,325,view,1433192259223
185,49,425,view,1433193024992
186,134,161,view,1433193362097
187,164,285,view,1433193080618
188,15,458,view,1433194060639
189,228,272,view,1433192997501
190,35,449,view,1433191691541
191,146,188,view,1433192144515
192,189,402,view,1433193614579
193,150,43,view,1433192321718
194,17,331,view,1433193990704
195,264,71,view,1433194504129
196,164,369,view,1433193535886
197,185,201,view,1433193595554
198,92,372,view,1433193798367
199,58,72,view,1433192866366
200,187,260,view,1433194408687
201,102,354,view,1433192651984
202,199,33,view,1433194473728
203,211,334,view,1433192750383
204,110,440,view,1433193383427
205,160,459,view,1433193860477
206,248,385,view,1433192938939
207,51,336,view,1433194739377
208,133,291,view,1433193490116
209,45,443,view,1433194237764
210,91,234,view,1433192401521
211,237,154,view,1433194177067
212,209,86,view,1433193887272
213,17,122,view,1433194498623
214,24,282,view,1433192067753
215,187,48,view,1433194607083
216,190,138,view,1433192584970
217,14,54,view,1433193877348
218,215,178,view,1433194239109
219,166,458,view,1433191842944
220,38,170,view,1433194920972
221,87,2,view,1433194439583
222,240,59,view,1433194511438
223,162,14,view,1433193848420
224,26,402,view,1433194516775
225,121,207,view,1433194372591
226,171,460,view,1433193003719
227,3,237,view,1433191793118
228,22,336,view,1433194045795
229,258,204,view,1433193796802
230,84,392,view,1433191554639
231,189,164,view,1433193477485
232,153,179,view,1433193526308
233,66,134,view,1433194772167
234,258,106,view,1433193872161
235,265,43,view,1433193979951
236,148,250,view,1433191548267
237,38,153,view,1433194844501
238,274,253,view,1433194772089
239,85,466,view,1433192202594
240,234,106,view,1433193860039
241,220,280,view,1433193131854
242,211,316,view,1433193323906
243,125,105,view,1433193207640
244,172,59,view,1433193312720
245,2,62,view,1433193196949
246,60,32,view,1433192145627
247,188,426,view,1433192570930
248,52,86,view,1433191616183
249,237,216,view,1433194481906
250,263,14,view,1433193463474
251,270,215,view,1433194675112
252,264,308,view,1433194983676
253,275,139,view,1433192078186
254,57,371,view,1433193611299
255,194,251,view,1433191544655
256,171,379,view,1433193272942
257,45,222,view,1433191523072
258,262,347,view,1433194599663
259,153,286,view,1433192387024
260,82,232,view,1433194599642
261,211,334,view,1433192693894
262,196,337,view,1433191689644
263,264,308,view,1433194914324
264,228,395,view,1433193428621
265,160,29,view,1433194833684
266,42,267,view,1433193246662
267,228,203,view,1433192974675
268,189,96,view,1433192282889
269,68,95,view,1433193043397
270,203,84,view,1433193100279
271,164,261,view,1433193703544
272,122,343,view,1433191774514
273,193,407,view,1433193994575
274,58,63,view,1433194303032
275,135,368,view,1433194893874
276,209,105,view,1433192495279
277,57,243,view,1433191866286
278,71,444,view,1433193294827
279,264,227,view,1433192439485
280,4,55,view,1433194792189
281,92,257,view,1433193748486
282,198,62,view,1433191734910
283,218,444,view,1433195003616
284,43,374,view,1433193341196
285,132,47,view,1433193414949
286,59,24,view,1433194716107
287,196,198,view,1433193884216
288,227,298,view,1433193724968
289,124,305,view,1433192113953
290,23,356,view,1433193535063
291,64,441,view,1433193881704
292,164,268,view,1433193634926
293,35,189,view,1433191760912
294,200,432,view,1433192506380
295,263,204,view,1433193493124
296,23,462,view,1433191729853
297,63,58,view,1433192959427
298,241,19,view,1433194288004
299,189,150,view,1433194824136
300,239,358,view,1433192311349
301,45,108,view,1433192775770
302,39,63,addtocart,1433194969716
303,231,168,view,1433193654708
304,24,15,transaction,1433193500981
305,84,38,view,1433191477403
306,107,80,view,1433192565867
307,23,433,view,1433193175924
308,268,159,view,1433191788633
309,110,265,view,1433194550349
310,155,125,view,1433194139564
311,49,181,view,1433193164579
312,122,436,view,1433194350258
313,266,94,view,1433191958331
314,157,102,view,1433192218717
315,271,233,view,1433192231907
316,213,197,view,1433194351839
317,32,391,view,1433192666341
318,177,76,view,1433192519806
319,229,141,view,1433194094518
320,226,396,view,1433193132535
321,77,456,view,1433193554368
322,166,281,view,1433191948760
323,38,170,view,1433194531464
324,211,263,view,1433193162715
325,203,24,view,1433194680008
326,188,383,view,1433192425487
327,66,434,view,1433191787095
328,27,140,view,1433194679579
329,70,246,view,1433191636446
330,170,243,view,1433191584678
331,251,165,view,1433191851912
332,110,93,view,1433194427881
333,164,281,view,1433193992715
334,177,395,view,1433191677505
335,3,89,view,1433191765098
336,258,88,view,1433194655137
337,7,137,view,1433194846767
338,155,184,view,1433192715740
339,222,350,view,1433192981610
340,81,360,view,1433191711059
341,54,36,view,1433193541168
342,232,462,view,1433194100127
343,268,20,view,1433194470209
344,122,396,view,1433194453729
345,144,59,view,1433191598362
346,97,306,view,1433193833507
347,147,61,view,1433192417799
348,280,320,view,1433193616260
349,43,302,view,1433193176627
350,117,196,view,1433192018538
351,1,315,view,1433191526588
352,263,379,view,1433192635883
353,170,85,view,1433191826171
354,64,185,view,1433193073246
355,219,50,view,1433193087443
356,17,264,view,1433194259639
357,74,161,view,1433194377032
358,35,262,view,1433192182037
359,224,189,view,1433193529619
360,121,80,view,1433192182241
361,189,76,view,1433194631205
362,269,356,view,1433191751657
363,58,428,view,1433192720617
364,83,350,view,1433193927030
365,25,375,view,1433193526932
366,242,107,view,1433194053638
367,262,344,view,1433194696771
368,190,198,view,1433192901157
369,151,397,view,1433194073557
370,92,451,view,1433193760835
371,162,431,view,1433193873160
372,138,421,view,1433193948993
373,160,197,view,1433194890697
374,187,140,view,1433194578342
375,249,58,view,1433192733238
376,37,248,view,1433192413684
377,244,403,view,1433194822821
378,216,135,view,1433192267220
379,23,78,view,1433193410479
380,32,280,view,1433192624693
381,107,385,view,1433194701554
382,121,192,view,1433194403266
383,134,318,view,1433192041936
384,94,416,view,1433193161124
385,132,449,view,1433194802752
386,49,295,view,1433192807066
387,254,277,view,1433192042501
388,256,65,view,1433194701874
389,70,458,view,1433192107830
390,107,91,view,1433194261247
391,22,377,view,1433194768852
392,134,77,view,1433193351267
393,89,302,view,1433193049912
394,184,385,view,1433194026467
395,58,102,view,1433192849374
396,149,176,view,1433192456634
397,31,143,view,1433193125438
398,31,154,view,1433191921208
399,129,121,view,1433194545727
400,275,428,view,1433192695054
401,21,254,view,1433192266935
402,35,49,view,1433192616589
403,176,199,view,1433194745128
404,228,233,view,1433193789881
405,274,333,view,1433194755794
406,70,462,view,1433194005239
407,53,319,view,1433194935948
408,241,123,view,1433192260061
409,237,62,view,1433194502406
410,1,253,view,1433194280594
411,248,267,view,1433191739062
412,262,337,view,1433192010489
413,227,364,view,1433194033035
414,279,56,view,1433194280384
415,84,99,view,1433192015852
416,184,412,view,1433193809956
417,122,455,view,1433192975894
418,110,81,transaction,1433193915008
419,153,316,view,1433193518184
420,127,360,view,1433193032159
421,83,174,view,1433194222728
422,19,24,view,1433192388905
423,84,241,view,1433194182025
424,35,183,view,1433193232883
425,1,14,view,1433194864488
426,6,98,view,1433192892426
427,211,147,view,1433192747163
428,161,67,view,1433191713959
429,210,276,view,1433193800251
430,50,212,view,1433192916241
431,117,218,view,1433191780678
432,41,67,view,1433194580641
433,19,298,view,1433194010662
434,108,174,view,1433192812552
435,31,295,view,1433192353698
436,220,103,view,1433193785460
437,135,83,view,1433194905177
438,43,65,view,1433194225641
439,176,58,view,1433192361649
440,209,444,view,1433194159263
441,249,58,view,1433192671854
442,31,463,view,1433192157800
443,34,35,view,1433193118330
444,78,465,view,1433194291005
445,220,55,view,1433193870077
446,150,20,view,1433192024594
447,203,122,view,1433193089034
448,96,247,view,1433191990038
449,78,181,view,1433216686718
450,270,420,view,1433218743111
451,19,420,view,1433218746802
452,197,356,view,1433219699169
453,103,277,view,1433218056322
454,32,69,view,1433218445073
455,95,139,view,1433220802151
456,11,115,addtocart,1433220254274
457,155,281,view,1433216689370
458,33,111,addtocart,1433218757551
459,146,162,view,1433218757893
460,132,37,view,1433218449342
461,247,51,view,1433218761995
462,207,105,view,1433219270717
463,66,19,view,1433218762620
464,173,325,view,1433217830558
465,51,347,view,1433219413350
466,155,221,view,1433216559709
467,211,257,view,1433218767984
468,104,273,view,1433217522763
469,46,336,view,1433218772485
470,113,79,view,1433216986389
471,134,207,view,1433217699400
472,134,390,view,1433220208728
473,164,292,view,1433220855897
474,240,80,view,1433217863765
475,9,337,view,1433217425844
476,253,380,view,1433217181141
477,226,440,view,1433218072646
478,62,172,view,1433217639876
479,116,62,view,1433220667123
480,98,8,view,1433220051727
481,158,302,view,1433218787846
482,168,80,view,1433219611486
483,114,212,view,1433217542961
484,208,212,view,1433219992412
485,164,399,view,1433220242328
486,235,319,view,1433218799177
487,39,59,view,1433216970132
488,132,219,view,1433219119335
489,148,443,view,1433218807424
490,154,76,view,1433220673811
491,174,229,view,1433216706043
492,93,396,view,1433220848630
493,206,183,view,1433217173197
494,99,387,view,1433219818498
495,10,463,view,1433217257455
496,15,418,view,1433216961517
497,114,73,view,1433218815612
498,22,44,view,1433217966859
499,22,380,view,1433220049612
500,279,184,view,1433218820997
501,247,51,view,1433218832625
502,143,303,view,1433218833204
503,93,179,view,1433219620129
504,30,89,view,1433219231513
505,7,297,view,1433217443929
506,125,226,view,1433220184421
507,44,463,view,1433216943226
508,207,49,view,1433218848002
509,199,253,view,1433217842534
510,11,259,view,1433218855073
511,186,273,view,1433217162685
512,75,374,view,1433218856734
513,154,34,view,1433216936981
514,243,424,view,1433220046418
515,68,105,view,1433218862643
516,9,137,view,1433219979247
517,142,431,view,1433220690974
518,166,115,view,1433218876080
519,66,335,view,1433220245031
520,264,367,view,1433219005687
521,180,197,view,1433217445797
522,73,198,view,1433219785580
523,217,30,view,1433218238410
524,247,51,view,1433218888272
525,24,1,view,1433220523541
526,240,220,view,1433218344824
527,41,199,view,1433218895433
528,107,206,view,1433218501026
529,174,268,view,1433216632259
530,136,305,view,1433217951982
531,272,381,view,1433217727423
532,195,44,view,1433219778202
533,183,162,view,1433219633772
534,208,172,view,1433216908582
535,24,151,view,1433220542028
536,10,400,view,1433220042944
537,139,343,view,1433218909515
538,49,94,view,1433216733465
539,104,417,view,1433218913971
540,57,450,view,1433220358346
541,145,463,view,1433217148447
542,154,72,addtocart,1433216735395
543,230,362,view,1433218918777
544,114,328,view,1433218921396
545,198,182,view,1433219032738
546,57,398,view,1433219189080
547,201,459,view,1433220524296
548,33,159,view,1433217142716
549,140,330,view,1433216886935
550,1,291,view,1433219641357
551,31,354,view,1433218941216
552,90,435,view,1433216884780
553,65,452,view,1433220428311
554,38,162,view,1433217650552
555,60,42,view,1433219179174
556,218,383,addtocart,1433218353931
557,241,123,view,1433216876714
558,52,115,view,1433220592120
559,230,116,view,1433218958175
560,254,278,view,1433219492276
561,168,72,view,1433219747960
562,159,227,view,1433217242577
563,198,318,view,1433219169319
564,132,184,view,1433217499518
565,52,115,view,1433220772884
566,51,239,view,1433220772624
567,142,346,view,1433219959283
568,187,246,view,1433218231292
569,48,328,view,1433218357871
570,118,64,view,1433217885963
571,263,152,view,1433219161045
572,7,297,view,1433217383269
573,199,94,view,1433218124231
574,278,291,view,1433220141392
575,173,156,view,1433220479052
576,103,97,view,1433218541046
577,64,352,view,1433217543958
578,94,310,view,1433218148039
579,77,170,view,1433218148197
580,20,349,view,1433218148829
581,8,262,view,1433216787971
582,118,460,view,1433220487573
583,228,160,view,1433217365713
584,208,89,view,1433218154553
585,50,393,view,1433218069667
586,47,367,addtocart,1433217621937
587,142,431,view,1433220598812
588,224,370,view,1433218109710
589,98,137,view,1433218108716
590,224,375,view,1433218103662
591,198,10,view,1433220834470
592,249,459,view,1433220227943
593,128,203,view,1433220473682
594,96,35,view,1433218099933
595,175,427,view,1433218183398
596,237,161,view,1433220152367
597,205,197,view,1433220116635
598,49,284,view,1433219467746
599,218,38,addtocart,1433217585094
600,19,323,view,1433216758745
601,132,167,view,1433217609840
602,22,179,view,1433220470032
603,181,57,view,1433218203419
604,35,466,view,1433220501536
605,159,227,view,1433217112577
606,33,14,view,1433218087643
607,227,156,view,1433218210261
608,30,273,view,1433217884313
609,198,182,view,1433220763474
610,187,315,view,1433218213174
611,208,172,view,1433217752051
612,205,464,view,1433217325353
613,246,60,view,1433217410543
614,79,229,view,1433218078654
615,47,67,view,1433218373724
616,259,422,view,1433218011420
617,243,171,view,1433218375150
618,64,311,view,1433219090552
619,36,335,view,1433217301087
620,72,260,view,1433218589241
621,66,464,view,1433218592636
622,144,167,view,1433217096768
623,279,161,view,1433220611952
624,57,218,view,1433220284481
625,65,452,view,1433220614148
626,270,247,view,1433217681432
627,209,379,view,1433220615340
628,51,310,view,1433219566491
629,198,50,view,1433218608582
630,185,290,view,1433218388645
631,132,122,view,1433217810130
632,96,347,view,1433217778643
633,280,272,view,1433216574429
634,108,199,view,1433217075114
635,280,315,view,1433220021147
636,61,281,view,1433219906599
637,155,20,view,1433218636795
638,240,80,addtocart,1433217911121
639,38,311,view,1433217632756
640,182,326,view,1433217273969
641,119,56,view,1433217765656
642,259,422,view,1433217668704
643,228,442,view,1433220741688
644,13,134,view,1433217517350
645,118,253,view,1433217612201
646,157,91,view,1433218654430
647,88,242,view,1433218656157
648,155,20,view,1433218656883
649,124,437,view,1433218657204
650,247,51,view,1433218662538
651,63,6,view,1433216663444
652,274,242,view,1433218040381
653,149,412,view,1433218670607
654,228,133,view,1433220813104
655,197,389,view,1433220860483
656,216,87,view,1433216775435
657,149,179,view,1433219052619
658,51,50,view,1433217817997
659,81,103,view,1433217991330
660,217,93,view,1433218680765
661,161,437,view,1433219666502
662,175,186,view,1433219703308
663,192,393,view,1433217436637
664,136,188,view,1433217038414
665,263,439,view,1433219310084
666,153,438,view,1433220179464
667,240,53,view,1433217766975
668,135,37,view,1433218692951
669,22,32,view,1433217200405
670,99,57,view,1433220057774
671,0,296,view,1433219869744
672,114,50,addtocart,1433218427136
673,26,279,view,1433217024543
674,230,367,view,1433216792965
675,208,351,view,1433219595257
676,132,184,view,1433218433694
677,184,326,view,1433220180667
678,192,165,view,1433217864610
679,174,200,view,1433216558478
680,65,48,view,1433217983563
681,19,420,view,1433218725824
682,166,235,view,1433218734507
683,230,367,view,1433217981477
684,98,422,view,1433220205709
685,52,323,view,1433217715982
686,224,379,view,1433218738635
687,167,67,view,1433219499096
688,266,288,view,1433219282166
689,238,231,view,1433218741422
690,57,36,view,1433174910943
691,119,65,view,1433175943200
692,106,157,view,1433175521312
693,207,187,view,1433173018911
694,60,257,view,1433175708754
695,54,214,addtocart,1433174825959
696,122,60,view,1433172971345
697,153,285,view,1433173628668
698,2,78,view,1433172636281
699,129,19,view,1433172578643
700,161,153,view,1433176499968
701,126,80,view,1433173167013
702,219,86,view,1433173012842
703,226,27,view,1433173273872
704,54,351,view,1433175517360
705,162,78,view,1433172818588
706,64,309,view,1433173938045
707,65,5,view,1433173658460
708,42,216,view,1433173218110
709,71,448,view,1433174235482
710,123,355,addtocart,1433175546693
711,269,52,addtocart,1433174234860
712,257,306,view,1433173178917
713,123,319,view,1433176017138
714,204,59,view,1433172666524
715,232,93,view,1433174966863
716,99,30,view,1433176437490
717,167,68,view,1433176016314
718,258,47,addtocart,1433176076757
719,4,101,view,1433176125569
720,187,257,view,1433176781582
721,164,399,view,1433176027191
722,1,24,view,1433175511766
723,216,300,view,1433176587177
724,54,120,addtocart,1433174892472
725,193,59,view,1433174745404
726,70,47,view,1433174974537
727,100,45,view,1433176539371
728,46,70,view,1433175308147
729,32,325,view,1433174309393
730,262,49,view,1433174533951
731,70,113,view,1433175558171
732,244,367,view,1433172891821
733,12,310,view,1433172409757
734,58,283,view,1433176306262
735,129,408,view,1433175699239
736,215,237,view,1433173158304
737,58,441,view,1433174041266
738,151,13,view,1433173870189
739,182,378,view,1433175912537
740,86,100,view,1433176494651
741,74,139,view,1433173076420
742,265,139,view,1433176118071
743,22,306,view,1433175505192
744,208,368,view,1433174060048
745,23,304,view,1433172922653
746,84,54,view,1433172592378
747,68,253,view,1433175741824
748,234,414,view,1433172520454
749,54,261,view,1433174996338
750,223,320,view,1433175320420
751,218,287,view,1433174827775
752,63,95,view,1433176753187
753,196,394,view,1433173861310
754,199,259,view,1433172646969
755,255,234,view,1433175145954
756,276,41,view,1433174477016
757,138,265,view,1433174603266
758,134,425,view,1433175003803
759,196,394,view,1433174190052
760,190,170,view,1433173460763
761,151,248,view,1433175328543
762,19,200,view,1433173855105
763,37,299,view,1433174598991
764,232,13,addtocart,1433174188395
765,98,38,view,1433174641955
766,85,37,view,1433173964603
767,97,182,view,1433175963370
768,220,413,view,1433173301336
769,85,228,view,1433174516504
770,167,50,view,1433175224614
771,3,187,view,1433176618921
772,43,289,view,1433175833085
773,279,261,view,1433172933974
774,22,380,view,1433172453557
775,126,243,view,1433176451051
776,273,457,view,1433173188153
777,123,355,view,1433175496584
778,248,387,view,1433173967525
779,238,154,view,1433173188388
780,243,389,view,1433174761571
781,240,179,view,1433174837702
782,232,181,view,1433176388606
783,38,225,view,1433176298817
784,111,152,view,1433173152057
785,64,202,view,1433173592655
786,62,138,view,1433175016210
787,193,454,view,1433172754114
788,177,15,view,1433172856189
789,16,198,view,1433176223373
790,124,5,view,1433176251023
791,188,392,view,1433173395834
792,46,262,view,1433175017711
793,62,82,view,1433176583251
794,90,96,view,1433173342688
795,130,420,view,1433172525331
796,110,304,view,1433173394376
797,45,165,view,1433174560982
798,243,235,view,1433173465433
799,23,304,view,1433172491822
800,64,260,view,1433173071125
801,93,294,view,1433172163941
802,109,41,view,1433175753117
803,155,158,view,1433176488803
804,182,161,view,1433173189819
805,164,80,view,1433174837566
806,81,78,view,1433174718167
807,6,281,view,1433176763417
808,51,299,view,1433173977945
809,134,429,view,1433175028744
810,66,97,view,1433173582607
811,149,61,addtocart,1433175685211
812,20,440,view,1433174823118
813,187,144,view,1433175347884
814,20,150,transaction,1433176736375
815,69,386,view,1433173003000
816,73,94,view,1433174628286
817,120,384,view,1433174778418
818,177,91,view,1433175757803
819,160,87,view,1433176131188
820,253,39,view,1433172900240
821,175,355,view,1433175484641
822,274,12,view,1433172489521
823,85,398,view,1433174319711
824,161,329,view,1433176429280
825,236,444,view,1433173029022
826,64,337,view,1433173829834
827,32,303,view,1433172936316
828,226,27,view,1433173248656
829,58,348,view,1433174549836
830,226,87,view,1433176039617
831,280,433,view,1433173989852
832,90,459,view,1433176770383
833,251,361,view,1433176590113
834,28,255,addtocart,1433172887919
835,111,29,view,1433173571419
836,46,216,view,1433175360916
837,155,368,view,1433173244388
838,248,430,view,1433175474508
839,111,24,view,1433173243583
840,22,325,view,1433172194611
841,21,157,view,1433175367546
842,73,43,view,1433174138407
843,37,310,transaction,1433174518180
844,149,61,view,1433175674086
845,153,335,view,1433173811856
846,280,303,view,1433175469834
847,175,355,view,1433175469591
848,210,428,view,1433175371191
849,253,144,view,1433173060748
850,111,401,view,1433173239791
851,1,67,view,1433173807741
852,148,442,view,1433174759285
853,243,182,view,1433175186893
854,259,347,view,1433172385479
855,88,71,view,1433175184863
856,259,147,view,1433174423344
857,247,240,addtocart,1433176320539
858,111,313,view,1433174008862
859,36,277,view,1433172605701
860,123,319,view,1433175889738
861,202,112,view,1433173136799
862,85,37,view,1433174122649
863,222,266,view,1433172316549
864,143,319,view,1433172221786
865,207,22,view,1433175182982
866,74,360,view,1433174362973
867,210,138,view,1433175182449
868,97,29,view,1433173712975
869,134,296,view,1433172193572
870,123,460,view,1433175920821
871,9,340,view,1433175610166
872,78,327,view,1433175776554
873,172,431,view,1433173107245
874,241,117,view,1433172951638
875,111,250,view,1433173365706
876,214,368,view,1433176380987
877,216,215,view,1433176296284
878,69,314,view,1433172326355
879,13,461,view,1433173489649
880,86,420,view,1433175083670
881,37,310,addtocart,1433174341347
882,80,421,view,1433173489881
883,76,392,view,1433173323994
884,55,75,view,1433176459513
885,244,56,view,1433173364671
886,54,138,view,1433174634926
887,103,426,view,1433176098244
888,130,51,view,1433174109166
889,64,202,view,1433176172191
890,62,374,view,1433174387932
891,15,356,view,1433176577400
892,98,239,view,1433173034929
893,14,374,view,1433174703043
894,27,430,addtocart,1433175895575
895,58,245,view,1433173362711
896,70,379,view,1433176296108
897,184,325,view,1433174103718
898,199,415,view,1433176585722
899,0,388,view,1433175395350
900,125,275,view,1433174101993
901,24,93,view,1433176064808
902,97,205,view,1433176778262
903,261,122,view,1433175617490
904,20,100,view,1433173510645
905,50,307,view,1433172912152
906,58,379,addtocart,1433172617625
907,178,56,view,1433172337224
908,78,376,view,1433175618422
909,113,387,view,1433173541749
910,123,306,view,1433175619219
911,157,64,view,1433172940779
912,2,265,view,1433174850679
913,100,447,view,1433172373453
914,238,461,view,1433176308726
915,206,209,view,1433174725422
916,211,110,view,1433174467797
917,220,257,view,1433173539824
918,7,172,view,1433176473625
919,23,304,view,1433172456013
920,214,38,view,1433172757638
921,238,165,view,1433173328039
922,81,276,view,1433176640051
923,68,262,view,1433176063071
924,247,293,view,1433172745953
925,87,4,view,1433176050975
926,161,153,view,1433176609819
927,264,91,view,1433176777974
928,8,140,view,1433173512893
929,80,263,view,1433173535616
930,217,267,view,1433175625341
931,134,217,view,1433173728239
932,98,191,view,1433175109292
933,76,158,view,1433176373044
934,269,370,view,1433173354239
935,37,299,view,1433175408906
936,56,147,view,1433173499307
937,218,6,view,1433173352925
938,52,58,view,1433176632267
939,89,256,view,1433176143401
940,22,10,view,1433176193130
941,60,111,view,1433175999709
942,210,138,view,1433175161357
943,264,391,view,1433176574575
944,278,81,view,1433172985504
945,103,354,view,1433172992159
946,139,110,view,1433172352825
947,68,28,view,1433175629346
948,260,209,view,1433176054009
949,112,293,view,1433175117985
950,244,408,view,1433174075536
951,221,387,view,1433175120851
952,89,332,view,1433174342129
953,219,456,view,1433172356228
954,180,338,view,1433174658922
955,270,156,view,1433175158211
956,25,177,view,1433173348889
957,27,188,view,1433176417216
958,265,409,view,1433173503208
959,232,383,view,1433175905485
960,261,240,view,1433173046480
961,214,426,view,1433172946315
962,189,121,view,1433174926523
963,36,277,view,1433172463583
964,166,429,view,1433174413087
965,2,275,view,1433175269636
966,247,240,view,1433174265621
967,80,325,view,1433173437084
968,150,360,view,1433175266327
969,150,167,view,1433173088176
970,133,193,view,1433173640262
971,276,60,view,1433174430018
972,46,306,view,1433174482157
973,68,262,view,1433176121274
974,25,391,view,1433173348092
975,37,299,view,1433174919240
976,244,243,view,1433172927608
977,25,270,view,1433173912155
978,94,12,view,1433175945068
979,280,99,view,1433174916114
980,121,168,view,1433175848050
981,256,207,view,1433174942184
982,14,65,view,1433172453651
983,195,373,view,1433172967661
984,241,375,view,1433176502466
985,43,19,view,1433175854695
986,122,272,view,1433172758593
987,163,12,view,1433182890869
988,155,234,view,1433182613050
989,65,88,view,1433182895812
990,160,365,view,1433182899272
